Nom de la variable,Nom Explicite,Description,Unite,Type de data,Format
OSEBuildingID,ID Batiment,Numéro d'identification du bâtiment,NA,integer,
DataYear,Année des Données,Années de récupération des données,Années,integer,
BuildingType,Type de Bâtiment,"Type de bâtiment (résidentiel, campus, etc)",NA,string,
PrimaryPropertyType,Type de Propriété,Usage principal de la propriété,NA,string,
PropertyName,Nom de la Propriété,Nom d'usage de la propriété,NA,string,
TaxParcelIdentificationNumber,Numéro de Parcelle,Numéro d'identification de la parcelle,NA,string,
Location,Localisation,"Lattitude, longitude et adresse postale de la propriété ",°,string,"dict{lat :,long :,human_adress:{adress :,city :,state :}}"
CouncilDistrictCode,Quartier,Code de quartier de la propriété,NA,integer,
Neighborhood,Voisinnage,Voisinnage de la propriété,NA,string,
YearBuilt,Année de Construction,Année de construction,Années,integer,
NumberOfBuildings,Nombre de Bâtiments,Nombre de bâtiments,Nombre de Bâtiments,integer,
NumberOfFloors,Nombre d’Etages,Nombre d'étages,Nombre d’Etages,float,
PropertyGFATotal,Surface Totale,Surface au sol totale de la propriété,Square Feets,integer,
PropertyGFAParking,Surface dédiée au Parking,Surface au sol de la propriété dédiée au parking,Square Feets,integer,
PropertyGFABuilding(s),Surface dédiée aux Bâtiments,Surface au sol de la propriété dédiée aux bâtiments,Square Feets,integer,
ListOfAllPropertyUseTypes,Liste des Types d’Usage,Liste de tous les usages de la propriété,NA,string,"usage1,usage2,usage3, etc"
LargestPropertyUseType,Usage le plus grand,Usage le plus volumineux de la propriété,NA,string,
LargestPropertyUseTypeGFA,Surface de l’Usage le plus grand,Surface au sol de la propriété dédiée à l'usage le plus volumineux,Square Feets,float,
SecondLargestPropertyUseType,Deuxième Usage le plus grand,Second usage le plus volumineux de la propriété,NA,string,
SecondLargestPropertyUseTypeGFA,Surface du Deuxième Usage,Surface au sol de la propriété dédiée au second usage le plus volumineux de la propriété,Square Feets,float,
ThirdLargestPropertyUseType,Troisième Usage le plus grand,Troisième usage le plus volumineux de la propriété,NA,string,
ThirdLargestPropertyUseTypeGFA,Surface du Troisième Usage,Surface au sol de la propriété dédiée au troisième usage le plus volumineux de la propriété,Square Feets,float,
YearsENERGYSTARCertified,Année de Certification ENERGYSTAR,Année de certification ENERGYSTAR,Années,float,
ENERGYSTARScore,Score EnergyStar,Score ENERGYSTAR du bâtiment,NA,float,
SiteEUI(kBtu/sf),Intensité d’Usage Energétique du Site,Intensité de l'utilisation énergétique du site en kilo unité britannique thermique par piedcarré (kilo British Thermal Unit per footsquare),kilo British Thermal Unit per footsquare,float,
SiteEUIWN(kBtu/sf),IUE du Site normalisée,Intensité de l'utilisation énergétique du site normalisée à la météo,kilo British Thermal Unit per footsquare,float,
SourceEUI(kBtu/sf),IUE Source,Intensité de l'utilisation énergétique du site avec prise en compte des ressources utilisées,kilo British Thermal Unit per footsquare,float,
SourceEUIWN(kBtu/sf),IUE Source normalisée,Intensité de l'utilisation énergétique du site avec prise en compte des ressources utilisées normalisée à la météo,kilo British Thermal Unit per footsquare,float,
SiteEnergyUse(kBtu),Usage Energétique du Site,Utilisation énergétique du site en kilo unité britannique thermique,kilo British Thermal Unit,float,
SiteEnergyUseWN(kBtu),Usage Energétique du Site normalisée,Utilisation énergétique du site normalisée à la météo,kilo British Thermal Unit,float,
SteamUse(kBtu) ,Usage de Vapeur,Utilisation de vapeur en kilo unité britannique thermique,kilo British Thermal Unit,float,
Electricity(kWh),Usage Electrique,Utilisation électrique en kiloWattheure,kiloWattheure,float,
Electricity(kBtu) ,Usage Electrique,Utilisation électrique en kilo unité britannique thermique,kilo British Thermal Unit,float,
NaturalGas(therms) ,Usage de Gas Naturels,Utilisation de gaz naturels en Thermique,Therms,float,
NaturalGas(kBtu),Usage de Gas Naturels,Utilisation de gaz naturels en kilo unité britannique thermique,kilo British Thermal Unit,float,
OtherFuelUse(kBtu),Usage d’autres sources énergétiques,Utilisation d'autres sources énergétiques en kilo unité britannique thermique,kilo British Thermal Unit,float,
GHGEmissions(MetricTonsCO2e) ,Emission de Gas à Effets de Serre,Emissions de gaz à effets de serre en Tonne Métrique d'émission de CO2,Tonnes,float,
GHGEmissionsIntensity(kgCO2e/ft2),Intensité d’Emissions de GES,Emissions de gaz à effets de serre en Tonne Métrique d'émission de CO2 par piedscarrés,Kilogrammes par Square Feets,float,
DefaultData,Données par Defaut,Données par défaut (oui/non),NA,string,
Comment,Commentaire,Commentaires,NA,string,
ComplianceStatus,Norme,Statut relatif aux normes (oui/non),NA,string,
Outlier,Exception,Présence ou non d'exception,NA,string,
2010 Census Tracts,Population Recensée,Population recensée en 2010 dans cette propriété,Nombre de personnes,float,
Seattle Police Department Micro Community Policing Plan Areas ,Plan d’accès,Référence de plan d'accès de la police de Seattle.,NA,float,
City Council Districts,Quartier,quartier de la propriété,NA,float,
SPD Beats,Commisariat de Référence,Commissariat de référence,NA,float,
Zip Codes,Code Postal,Code Postal,NA,integer,
