OSEBuildingID,ZipCode,YearBuilt,BuildingType,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,PropertyGFATotal(m2),PropertyGFAParking(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
87.0,98146.0,1948.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.508467833972851,,,,2617.6698008967737,56.1893923608263
757.0,98121.0,1979.0,NonResidential,1.0,7.0,Large Office,Office,Retail Store,9.407844699532045,8.999301878719265,6.915997908106723,93.5,5645.200150866087,71.25630061126212
773.0,98104.0,1924.0,NonResidential,,4.0,Small- and Mid-Sized Office,,,8.677069217439346,,,,3582.049025630714,40.350833324272976
19694.0,98122.0,1925.0,SPS-District K-12,1.0,2.0,K-12 School,K-12 School,,8.15127329402171,,,,2153.6047754699775,44.8813365921231
20130.0,98115.0,1910.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.7067310582399475,,,89.5,851.9795756043687,20.119065811013552
20324.0,98115.0,2000.0,NonResidential,1.0,2.0,Worship Facility,Worship Facility,,7.977918302259375,,,55.0,1815.8236632719538,37.781926661153975
21570.0,98125.0,1950.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.058063941270447,,,,1864.8487346356158,38.82906832382374
21578.0,98116.0,1949.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.250504203878815,,,,2393.4603722692045,44.8813365921231
24408.0,98103.0,1953.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,9.239553864430409,,,,6425.199241769034,134.47837879576974
25361.0,98115.0,1961.0,SPS-District K-12,1.0,1.0,K-12 School,K-12 School,,8.306108804494931,,,,2594.8037878247615,56.1893923608263
25451.0,98109.0,1978.0,NonResidential,1.0,2.0,Restaurant,Restaurant,Office,7.809417825858919,,7.090874515944656,,3986.6305716454317,85.72875396832977
26532.0,98105.0,1928.0,NonResidential,,2.0,Mixed Use Property,,,7.5645844269405345,,,,1137.8801162966881,17.044453421738794
49968.0,98195.0,1969.0,NonResidential,1.0,4.0,University,College/University,,8.605341016899585,,,,3027.708930577487,56.1893923608263
49972.0,98195.0,1998.0,NonResidential,1.0,6.0,University,College/University,,9.844910120016996,,,,10597.391520859943,186.5407324524031
